1,10,0
1,20,0
1,30,1
1,40,1
1,50,0
1,60,0
1,70,0
2,10,0
2,20,0
2,30,1
2,40,0
2,50,0
2,60,0
2,70,0
3,10,1
3,20,0
3,30,0
3,40,0
3,50,0
3,60,0
3,70,1
4,10,1
4,20,1
4,30,0
4,40,0
4,50,0
4,60,1
4,70,1
5,10,1
5,20,0
5,30,0
5,40,0
5,50,1
5,60,0
5,70,0
6,10,0
6,20,1
6,30,1
6,40,0
6,50,0
6,60,1
6,70,0
7,10,0
7,20,0
7,30,0
7,40,0
7,50,0
7,60,1
7,70,1
8,10,1
8,20,0
8,30,0
8,40,0
8,50,1
8,60,0
8,70,0
9,10,0
9,20,0
9,30,0
9,40,0
9,50,0
9,60,1
9,70,0
10,10,0
10,20,0
10,30,0
10,40,1
10,50,0
10,60,0
10,70,1
11,10,1
11,20,1
11,30,0
11,40,1
11,50,0
11,60,0
11,70,0
12,10,1
12,20,0
12,30,0
12,40,0
12,50,0
12,60,1
12,70,1
13,10,0
13,20,0
13,30,0
13,40,0
13,50,0
13,60,1
13,70,1
14,10,1
14,20,0
14,30,0
14,40,0
14,50,1
14,60,0
14,70,0
15,10,0
15,20,1
15,30,1
15,40,0
15,50,0
15,60,0
15,70,0
16,10,1
16,20,0
16,30,0
16,40,0
16,50,1
16,60,0
16,70,0
17,10,0
17,20,1
17,30,1
17,40,0
17,50,0
17,60,1
17,70,0
18,10,1
18,20,0
18,30,0
18,40,0
18,50,1
18,60,0
18,70,0
19,10,0
19,20,1
19,30,0
19,40,1
19,50,0
19,60,0
19,70,0
20,10,0
20,20,1
20,30,0
20,40,0
20,50,0
20,60,0
20,70,1
21,10,0
21,20,0
21,30,0
21,40,1
21,50,0
21,60,0
21,70,1
22,10,1
22,20,0
22,30,0
22,40,0
22,50,1
22,60,0
22,70,1
23,10,0
23,20,0
23,30,0
23,40,0
23,50,0
23,60,0
23,70,1
24,10,1
24,20,0
24,30,0
24,40,1
24,50,0
24,60,0
24,70,0
25,10,0
25,20,1
25,30,1
25,40,0
25,50,0
25,60,1
25,70,1
26,10,1
26,20,0
26,30,0
26,40,0
26,50,0
26,60,0
26,70,1
27,10,1
27,20,0
27,30,0
27,40,0
27,50,1
27,60,0
27,70,1
28,10,0
28,20,0
28,30,0
28,40,0
28,50,0
28,60,0
28,70,1
29,10,0
29,20,1
29,30,1
29,40,0
29,50,0
29,60,0
29,70,0
30,10,1
30,20,0
30,30,0
30,40,0
30,50,0
30,60,0
30,70,0
31,10,1
31,20,0
31,30,0
31,40,1
31,50,0
31,60,0
31,70,0
32,10,0
32,20,0
32,30,1
32,40,0
32,50,0
32,60,0
32,70,1
33,10,0
33,20,1
33,30,1
33,40,0
33,50,0
33,60,0
33,70,0
34,10,0
34,20,0
34,30,0
34,40,0
34,50,0
34,60,0
34,70,1
35,10,0
35,20,0
35,30,1
35,40,0
35,50,1
35,60,0
35,70,1
36,10,0
36,20,1
36,30,1
36,40,0
36,50,0
36,60,1
36,70,0
37,10,0
37,20,1
37,30,0
37,40,0
37,50,0
37,60,1
37,70,1
